student_no,province,age,gender,nationality,religion,f_Educ,father_occupation,m_Educ,mother_occupation,family_size,ordinal_position,family_monthlyIncome,no_members_income,tuition_support,school_expenses,shs_school_type,strand,grade12_cgpa,pr_verbal_language,pr_reading_compre,pr_english,pr_math,pr_non_verbal,pr_basic_cmp,pr_clerical,selected_college_score,course,total_units,institute,performance
20610843,Pampanga,19,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,,5,Youngest,B,Max of 2,Parents,Parents,Private,STEM,91.87,87,94,93,88,98,37,37,80.35,Architecture,26,SEA,high
20580118,Pampanga,18,F,Filipino,Iglesia Ni Cristo,College Graduate,mgmt. sales and entrepreneural occupations,College Graduate,helping and teaching occupation,7,Youngest,E,Max of 4,Parents,Parents,Private,STEM,91.04,94,94,87,88,95,94,79,90.9,Architecture,26,SEA,high
20581288,Pampanga,20,F,Filipino,Roman Catholic,,,,,7,Middle,F,None,Relatives,Relatives,Private,TVL,86.5,14,45,53,23,24,94,61,46.0,BSHRM,26,SHTM,high
20597275,Pampanga,19,M,Filipino,Born Again Christian,College Graduate,mgmt. sales and entrepreneural occupations,College Undergraduate/Vocational,mgmt. sales and entrepreneural occupations,4,Eldest,F,Max of 4,Relatives,Parents,Private,STEM,83.68,87,45,67,50,80,83,57,65.8,BSITAreaWebDev,23,CICT,medium
20612777,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,mgmt. sales and entrepreneural occupations,6,2nd,F,Max of 4,Parents,Parents,Private,ABM,97.5,97,97,78,95,95,92,76,92.0,Accountancy,26,SBA,high
20587634,Pampanga,18,M,Filipino,Roman Catholic,College Undergrad/Vocational,mgmt. sales and entrepreneural occupations,HS,mgmt. sales and entrepreneural occupations,7,4th,A,Max of 2,Parents,Parents,Private,STEM,91.07,24,97,87,82,97,53,82,75.4,CE,25,SEA,medium
20602811,Pampanga,19,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Undergraduate/Vocational,Skilled and technical jobs,4,Youngest,A,Max of 4,Parents,Parents,Private,STEM,86.24,52,88,93,98,97,61,73,82.3,Architecture,26,SEA,high
20601090,Pampanga,19,F,Filipino,Roman Catholic,College Graduate,mgmt. sales and entrepreneural occupations,College Graduate,mgmt. sales and entrepreneural occupations,5,Eldest,D,Max of 2,Parents,Parents,Private,STEM,90.41,87,73,67,31,80,77,20,59.8,Architecture,26,SEA,high
20570771,Pampanga,18,F,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,College Undergraduate/Vocational,helping and teaching occupation,6,3rd,A,Max of 2,Parents,Parents,Private,STEM,89.65,52,79,17,40,86,87,20,54.6,EE,25,SEA,medium
20574178,Pampanga,19,M,Filipino,Born Again Christian,College Graduate,mgmt. sales and entrepreneural occupations,College Graduate,,4,Youngest,A,None,Parents,Parents,Private,HUMSS,90.44,91,88,17,50,62,69,79,74.6,BA Comm,23,SAS,high
